"species","location.coordinate","location.latitude","location.longitude","radius","landing.date","n"
"P. georgianus","31°53'27.6""S 115°16'15.6""E",-31.891,115.271,5,"10-04-06",2
"P. georgianus","31°54'34.9""S 115°35'38.4""E",-31.9097,115.594,5,"9-04-06",1
"P. georgianus","31°55'59.9""S 115°34'58.8""E",-31.9333,115.583,5,NA,1
"P. georgianus","31°56'34.1""S 115°35'24.0""E",-31.9428,115.59,5,"9-04-06",1
"P. georgianus","34°24 S 172°55 E ",-34.4,172.916667,5,"29-07-18",1
"P. georgianus","37.122001366241 S 175.9687042236328 E",-37.122001366241,175.968704223633,5,"26-07-17",1
"P. georgianus","37.122001366241 S 175.9687042236328 E",-37.122001366241,175.968704223633,5,"26/07/17",3
"P. georgianus","37°42 S 177°26 E",-37.7,177.433333,5,"15-09-18",1
"P. georgianus","37°46.7 S 174°44.8 E",-37.778333,174.746667,5,"31-07-18",5
"P. georgianus","37°58.3 S 174°38.5 E",-37.971667,174.641667,5,"5-08-18",1
"P. georgianus","38°01'48.0""S 149°10'01.2""E",-38.03,149.167,5,"29-08-94",1
"P. georgianus","38°16'59.9""S 144°39'00.0""E",-38.2833,144.65,5,"6-02-04",1
"P. georgianus","38°58'49.4""S 145°13'08.9""E",-38.980395,145.219128,20,"17-03-04",1
"P. georgianus","40°58'12.0""S 174°49'48.0""E",-40.97,174.83,9,"2-02-19",1
"P. georgianus",NA,-38.93,178.09,45,"6-11-18",1
